Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
3,[admin == true],0,0,
4,,0,0,[Skipped: Initial Transition]
6,[person_in_1==true || person_in_2==true ],1,1,[person_in_1 == true || person_in_2 == true]
4,,0,0,[Skipped: Initial Transition]
5,[doorOpen == true],1,1,[doorOpen == false]
3,[admin == true],1,1,[admin == 1]
9,[person_in_1 ==true && person_in_2 == true],1,1,[person_in_1 == true || person_in_2 == true]
9,[person_in_1 ==true && person_in_2 == true],1,1,[person_in_1 == true || person_in_2 == true]
3,[admin == true],0,0,
4,,0,0,[Skipped: Initial Transition]
4,,0,0,[Skipped: Initial Transition]
6,[person_in_1==true || person_in_2==true ],1,1,[person_in_1 == true || person_in_2 == true]
6,[person_in_1==true || person_in_2==true ],1,1,[person_in_1 == true || person_in_2 == true]
1,,0,0,[Skipped: Initial Transition]
3,[admin == true],1,1,[admin == false]
