Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
