Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
1,,0,0,[Skipped: Initial Transition]
12,after(Period - 70*APW;msec),1,1,after(Period - 70*VPW;msec)
25,after(VPW; msec),1,1,after(VPW; sec)
22,after(Period - VRP; msec),1,1,after(Period + VRP; msec)
14,after(VPW;msec),1,1,after(VPW;sec)
1,,0,0,[Skipped: Initial Transition]
25,after(VPW; msec),1,1,after(VPW; sec)
11,after(APW;msec),1,1,after(APW;sec)
9,[Mode~=4],1,1,[Mode==4]
8,[Mode~=3],1,1,[Mode==3]
5,[Mode~=1],1,1,[Mode==1]
12,after(Period - 70*APW;msec),1,1,after(Period - 70*VPW;msec)
