Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
9,[Mode~=4],1,1,[Mode==4]
14,after(VPW;msec),1,1,after(VPW;sec)
13,,0,0,[Skipped: Initial Transition]
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
9,[Mode~=4],1,1,[Mode==4]
1,,0,0,[Skipped: Initial Transition]
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
24,after(VRP; msec),0,0,
12,after(Period - 70*APW;msec),1,1,after(Period - 70*APW;sec)
19,after(ARP; msec),0,0,
20,after(APW; msec),1,1,after(APW; sec)
20,after(APW; msec),1,1,after(APW; sec)
20,after(APW; msec),1,1,after(APW; sec)
20,after(APW; msec),1,1,after(APW; sec)
