Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
11,after(APW;msec),1,1,after(APW;sec)
22,after(Period - VRP; msec),1,1,after(Period + VRP; msec)
1,,0,0,[Skipped: Initial Transition]
10,,0,0,[Skipped: Initial Transition]
13,,0,0,[Skipped: Initial Transition]
11,after(APW;msec),1,1,after(APW;sec)
16,,0,0,[Skipped: Initial Transition]
21,,0,0,[Skipped: Initial Transition]
14,after(VPW;msec),1,1,after(VPW;sec)
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
5,[Mode~=1],1,1,[Mode==1]
16,,0,0,[Skipped: Initial Transition]
12,after(Period - 70*APW;msec),0,0,
11,after(APW;msec),1,1,after(APW;sec)
10,,0,0,[Skipped: Initial Transition]
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
9,[Mode~=4],1,1,[Mode==4]
14,after(VPW;msec),1,1,after(VPW;sec)
