Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE < REF + 2]
7,[after(1;sec)],1,1,[after(2;sec)]
2,,0,0,[Skipped: Initial Transition]
7,[after(1;sec)],1,1,[after(2;sec)]
8,[TEMPERATURE > REF + 2],0,0,
2,,0,0,[Skipped: Initial Transition]
7,[after(1;sec)],1,1,[after(2;sec)]
7,[after(1;sec)],1,1,[after(2;sec)]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE < REF + 2]
7,[after(1;sec)],0,0,
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE < REF + 2]
7,[after(1;sec)],1,1,[after(2;sec)]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE <= REF + 2]
2,,0,0,[Skipped: Initial Transition]
7,[after(1;sec)],1,1,[after(2;sec)]
8,[TEMPERATURE > REF + 2],0,0,
7,[after(1;sec)],0,0,
