Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
2,,0,0,[Skipped: Initial Transition]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE >= REF]
2,,0,0,[Skipped: Initial Transition]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
2,,0,0,[Skipped: Initial Transition]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE >= REF]
2,,0,0,[Skipped: Initial Transition]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE > REF]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE > REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE > REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE > REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE > REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE >= REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE >= REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
2,,0,0,[Skipped: Initial Transition]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
2,,0,0,[Skipped: Initial Transition]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
7,[TEMPERATURE <= REF],1,1,[TEMPERATURE < REF]
2,,0,0,[Skipped: Initial Transition]
8,[TEMPERATURE > REF + 2],1,1,[TEMPERATURE >= REF + 2]
2,,0,0,[Skipped: Initial Transition]
