Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
11,after(APW;msec),1,1,after(APW;sec)
14,after(VPW;msec),1,1,after(VPW;sec)
9,[Mode~=4],1,1,[Mode==4]
14,after(VPW;msec),1,1,after(VPW;sec)
10,,0,0,[Skipped: Initial Transition]
8,[Mode~=3],1,1,[Mode==3]
14,after(VPW;msec),1,1,after(VPW;sec)
14,after(VPW;msec),1,1,after(VPW;sec)
4,[Mode~=2],1,1,[Mode==2]
12,after(Period - 70*APW;msec),0,0,
20,after(APW; msec),1,1,after(APW; sec)
8,[Mode~=3],1,1,[Mode==3]
12,after(Period - 70*APW;msec),1,1,after(Period - 70*VPW;msec)
