Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
1,{oraingoPisua=0;},0,0,[Skipped: Initial Transition]
8,,1,1,[pisua > oraingoPisua]
12,[pisua==oraingoPisua],1,1,[pisua!=oraingoPisua]
11,[pisua==oraingoPisua],1,1,[pisua!=oraingoPisua]
9,after(5; sec){oraingoPisua = oraingoPisua - 1;},1,1,after(5; sec)
1,{oraingoPisua=0;},0,0,[Skipped: Initial Transition]
12,[pisua==oraingoPisua],0,0,
3,[pisua~=oraingoPisua],1,1,[pisua==oraingoPisua]
3,[pisua~=oraingoPisua],1,1,[pisua==oraingoPisua]
3,[pisua~=oraingoPisua],1,1,[pisua==oraingoPisua]
2,after(3;sec),1,1,after(5;sec)
