Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
5,during_;OpenDoor = 1;,1,1,OpenDoor = 0;
