Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,,0,0,[Skipped: Initial Transition]
5,[doorOpen == true],1,1,[doorOpen == false]
10,[after(10;sec)],1,1,[after(10;sec) && !person_in_1 && !person_in_2]
9,[person_in_1 == true || person_in_2 == true],1,1,[admin == false && (person_in_1 == true || person_in_2 == true)]
10,[after(10;sec)],1,1,[after(10;sec) && admin == false]
10,[after(10;sec)],1,1,[after(10;sec) && admin == false]
4,,0,0,[Skipped: Initial Transition]
10,[after(10;sec)],1,1,[after(10;sec) && !admin]
10,[after(10;sec)],1,1,[after(10;sec) && !admin && !person_in_1 && !person_in_2]
10,[after(10;sec)],1,1,[after(10;sec) && !admin && !person_in_1 && !person_in_2]
