Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,,0,0,[Skipped: Initial Transition]
6,[person_in_1==true || person_in_2==true ],0,0,
10,[after(10;sec)],1,1,[after(5;sec)]
6,[person_in_1==true || person_in_2==true ],0,0,
9,[person_in_1 ==true || person_in_2 == true],1,1,[person_in_1 == false || person_in_2 == true]
4,,0,0,[Skipped: Initial Transition]
1,,0,0,[Skipped: Initial Transition]
9,[person_in_1 ==true || person_in_2 == true],1,1,[person_in_1 == true || person_in_2 == true]
1,,0,0,[Skipped: Initial Transition]
6,[person_in_1==true || person_in_2==true ],0,0,
6,[person_in_1==true || person_in_2==true ],0,0,
10,[after(10;sec)],1,1,[after(5;sec)]
10,[after(10;sec)],1,1,[after(5;sec)]
