Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = person_in_1 || person_in_2;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = person_in_1 || person_in_2;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
