Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
25,after(VPW; msec),1,1,after(VPW; sec)
9,[Mode~=4],1,1,[Mode==4]
8,[Mode~=3],1,1,[Mode==3]
21,,0,0,[Skipped: Initial Transition]
8,[Mode~=3],1,1,[Mode==3]
14,after(VPW;msec),1,1,after(VPW;sec)
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
12,after(Period - 70*APW;msec),0,0,
19,after(ARP; msec),0,0,
16,,0,0,[Skipped: Initial Transition]
22,after(Period - VRP; msec),1,1,after(Period + VRP; msec)
9,[Mode~=4],1,1,[Mode==4]
21,,0,0,[Skipped: Initial Transition]
15,after(Period-VPW;msec),1,1,after(Period+VPW;msec)
