Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,entry: COLD = REF-TEMPERATURE;
2,CLOSE_NORM;during:;LIGHT = 0;;ALARM = 0;;COLD = 0;,0,0,
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,during: COLD = (TEMPERATURE < REF);
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,during: COLD = (REF > TEMPERATURE) ? 1 : 0;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:CLOSE_HOT
2,CLOSE_NORM;during:;LIGHT = 0;;ALARM = 0;;COLD = 0;,0,0,
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,during: [TEMPERATURE < REF]
2,CLOSE_NORM;during:;LIGHT = 0;;ALARM = 0;;COLD = 0;,0,0,
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,during: COLD = (TEMPERATURE <= REF) ? 1 : 0;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:CLOSE_HOT
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,during:;COLD = (TEMPERATURE < REF);
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:COLD = (TEMPERATURE < REF);
2,CLOSE_NORM;during:;LIGHT = 0;;ALARM = 0;;COLD = 0;,0,0,
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,0,0,
